strain,name,cosm,treatment,timepoint,mutations,fixed,linegroup,number_of_variants,fixed_total_ratio,fixed_total_ratio_number,fixation_rate,acc_rate,hill
At,T44.3.5,5,3,T44,4.974133963574397,0,at_5_3,11,0.0,0.0,0.0,1.2435334908935993,4.974133963574397
At,T33.3.5,5,3,T33,2.5834153650512497,0,at_5_3,9,0.0,0.0,0.0,0.8611384550170832,2.5834153650512497
At,T11.3.4,4,3,T11,1.407432238242827,0,at_4_3,5,0.0,0.0,0.0,1.407432238242827,1.407432238242827
At,T11.3.3,3,3,T11,1.1848150550760683,0,at_3_3,4,0.0,0.0,0.0,1.1848150550760683,1.1848150550760683
At,T11.3.2,2,3,T11,1.4737244161552663,0,at_2_3,5,0.0,0.0,0.0,1.4737244161552663,1.4737244161552663
At,T33.3.1,1,3,T33,2.3327393460955608,1,at_1_3,6,0.42868055604830313,0.16666666666666666,0.3333333333333333,0.7775797820318536,2.3327393460955608
At,T33.3.2,2,3,T33,4.647221195614976,1,at_2_3,9,0.21518235476795894,0.1111111111111111,0.3333333333333333,1.5490737318716585,4.647221195614976
At,T33.3.3,3,3,T33,3.9113819017103264,2,at_3_3,7,0.5113282339230188,0.2857142857142857,0.6666666666666666,1.3037939672367755,3.9113819017103264
At,T11.3.1,1,3,T11,1.1221646143875565,0,at_1_3,3,0.0,0.0,0.0,1.1221646143875565,1.1221646143875565
At,T22.3.5,5,3,T22,3.9999320391725743,0,at_5_3,9,0.0,0.0,0.0,1.9999660195862872,3.9999320391725743
At,T22.3.4,4,3,T22,2.7781012757250054,0,at_4_3,7,0.0,0.0,0.0,1.3890506378625027,2.7781012757250054
Ct,T11.3.1,1,3,T11,6.542805584274077,3,ct_1_3,11,0.4585188970325869,0.2727272727272727,3.0,6.542805584274077,6.542805584274077
Ct,T11.3.2,2,3,T11,5.855925854648123,3,ct_2_3,11,0.5123015684392177,0.2727272727272727,3.0,5.855925854648123,5.855925854648123
Ct,T11.3.3,3,3,T11,5.502129234587044,3,ct_3_3,9,0.5452434634107902,0.3333333333333333,3.0,5.502129234587044,5.502129234587044
Ct,T11.3.4,4,3,T11,5.510263447381189,3,ct_4_3,9,0.5444385787807989,0.3333333333333333,3.0,5.510263447381189,5.510263447381189
Ct,T11.3.5,5,3,T11,9.03443468846959,3,ct_5_3,11,0.33206283552293764,0.2727272727272727,3.0,9.03443468846959,9.03443468846959
At,T22.3.3,3,3,T22,2.4233625055106067,0,at_3_3,6,0.0,0.0,0.0,1.2116812527553034,2.4233625055106067
At,T22.3.2,2,3,T22,2.8001128919984657,1,at_2_3,8,0.35712845823380035,0.125,0.5,1.4000564459992328,2.8001128919984657
At,T22.3.1,1,3,T22,2.2880176789946964,1,at_1_3,6,0.4370595599765547,0.16666666666666666,0.5,1.1440088394973482,2.2880176789946964
At,T44.3.1,1,3,T44,2.770424719188754,2,at_1_3,5,0.7219109713205444,0.4,0.5,0.6926061797971885,2.770424719188754
Ms,T33.4.5,5,4,T33,14.405834499372563,5,ms_5_4,29,0.3470815939345806,0.1724137931034483,1.6666666666666667,4.801944833124188,14.405834499372563
Ct,T11.4.4,4,4,T11,5.523148637406466,3,ct_4_4,11,0.5431684347008133,0.2727272727272727,3.0,5.523148637406466,5.523148637406466
Ms,T33.4.3.rep,3,4,T33,15.106688092676368,7,ms_3_4,23,0.4633709226705725,0.30434782608695654,2.3333333333333335,5.035562697558789,15.106688092676368
Ms,T33.4.1,1,4,T33,0.0,0,ms_1_4,0,,,0.0,0.0,0.0
At,T11.4.1,1,4,T11,1.9445147853166018,1,at_1_4,4,0.5142671105157898,0.25,1.0,1.9445147853166018,1.9445147853166018
At,T11.4.2,2,4,T11,1.5724323073559452,0,at_2_4,6,0.0,0.0,0.0,1.5724323073559452,1.5724323073559452
At,T11.4.3,3,4,T11,1.187256957142386,0,at_3_4,5,0.0,0.0,0.0,1.187256957142386,1.187256957142386
