genes	logFC	logCPM	LR	PValue	FDR
NHFMJM_22095	-1.57826947706813	3.04239448160276	15.6583894002225	7.58752468542523e-05	0.00440657397748963
NHFMJM_22100	-1.58308439596793	4.42105246012678	15.6009097464114	7.82169473604994e-05	0.00446696986375812
NHFMJM_07205	1.54539738605973	4.65678962575597	15.4602690649693	8.42578875044069e-05	0.00471761564252616
NHFMJM_18990	-1.24106539287892	4.13212308875962	15.4774146713709	8.34970021904351e-05	0.00471761564252616
NHFMJM_15200	-1.68123969018594	5.14566052540141	15.3175627806039	9.08677706608803e-05	0.004989863829272
NHFMJM_22990	-1.28798892211733	6.32881391133364	15.3226883719993	9.06215638736066e-05	0.004989863829272
NHFMJM_09290	-1.92739176677407	4.17151690760364	15.2918175368544	9.21146573538233e-05	0.005010160077597
NHFMJM_09270	-2.60078117983581	5.77154775830801	15.1968812741617	9.68632616857347e-05	0.00521873667440784
NHFMJM_11210	-1.20001039561689	3.77191454111254	15.1232823099465	0.000100713513372005	0.00537546612025719
NHFMJM_09275	-2.30716106780413	5.19046517108412	15.0710518633009	0.000103538992049457	0.00547510355180045
NHFMJM_18995	-1.91498643278481	2.26239192929518	15.0073446242152	0.000107093562686712	0.00558611001285885
NHFMJM_08905	-1.88612327573571	6.73697822889505	14.9814608186955	0.000108572616254129	0.00558611001285885
NHFMJM_13615	-1.52823390125482	4.98017327764808	14.9819265946155	0.000108545820055453	0.00558611001285885
NHFMJM_02440	1.97597815080126	7.19930527488857	14.9584034668477	0.00010990746750667	0.00560429952616602
NHFMJM_25030	-1.94402212568374	3.20289110042143	14.9243028338691	0.00011191198552177	0.00560639780100727
NHFMJM_13165	-1.75506759625405	6.42055237604235	14.9248659803779	0.000111878585402784	0.00560639780100727
NHFMJM_26145	-1.30770940520301	4.22094623342049	14.8338572219131	0.000117408670327053	0.00583061666293741
NHFMJM_13470	-1.71055690630174	3.99018318984862	14.706891343556	0.000125586519850499	0.00618297081781208
NHFMJM_20785	1.60028326303373	5.73465807625378	14.6267706599316	0.000131039803495369	0.00639631040822267
NHFMJM_01645	-1.98127584959744	6.57653281924392	14.6090899080258	0.000132274972118684	0.00640188445567629
NHFMJM_12610	2.97383213510451	9.0648647227894	14.5284574190804	0.000138058242457737	0.00662563548467343
NHFMJM_13220	-3.50715184207332	8.57681415181899	14.4858954876678	0.000141212927796807	0.00672055858872971
NHFMJM_13225	-3.44326098634268	8.60318766173787	14.4056944262955	0.000147356040532515	0.00695496154943134
NHFMJM_20335	-1.7594542233335	3.23656077247966	14.3429757002903	0.000152347031017662	0.00713158929624484
NHFMJM_20325	-1.54668778080083	5.97865987007502	14.2034146090423	0.000164072510909355	0.00755659765970426
NHFMJM_11595	-1.53511861253315	4.97645516947886	14.2137168741223	0.000163176697886495	0.00755659765970426
NHFMJM_13815	-1.71676231170556	6.30122908914412	14.0728829901923	0.000175861013675692	0.00798124522227416
NHFMJM_15850	-1.2651605418592	3.64247469699922	14.0704601361505	0.000176087707583006	0.00798124522227416
NHFMJM_25070	-1.38197059768791	5.28604342387496	14.0422374559365	0.000178750141700933	0.00803812645081913
NHFMJM_14100	-1.31927594741434	4.16689721865763	14.0166713200061	0.000181196955267935	0.00808449852761855
NHFMJM_10125	-1.24616242082202	5.45161785725133	13.9453774740098	0.000188199862532795	0.00833185592964957
NHFMJM_14420	2.46710486172122	8.76385802366043	13.9071880951501	0.000192062543322481	0.00843745526857455
NHFMJM_14225	-1.5356969880696	3.60745352963931	13.8497784353526	0.000198020083465826	0.00863276867689568
NHFMJM_09280	-1.13980984111921	3.8913125122156	13.7670120935504	0.000206938202254116	0.0089532126747974
NHFMJM_03225	-1.65064235313112	6.13589272365426	13.7527195605473	0.000208518708960156	0.00895376200655226
